GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myerp-business/myerp-model,com.dummy.myerp.model.bean.comptabilite,LigneEcritureComptable,132,45,14,4,25,16,15,7,8,5
myerp-business/myerp-model,com.dummy.myerp.model.bean.comptabilite,JournalComptable,95,33,11,3,20,8,13,5,7,4
myerp-business/myerp-model,com.dummy.myerp.model.bean.comptabilite,SequenceEcritureComptable,99,25,12,0,20,10,12,5,6,5
myerp-business/myerp-model,com.dummy.myerp.model.bean.comptabilite,EcritureComptable,176,89,18,4,25,26,13,18,4,16
myerp-business/myerp-model,com.dummy.myerp.model.bean.comptabilite,CompteComptable,93,43,11,5,20,15,13,6,7,4
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.cache,CompteComptableDaoCache,18,0,2,0,6,0,3,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.cache,JournalComptableDaoCache,18,0,2,0,6,0,3,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,SequenceEcritureComptableRM,34,0,0,0,7,0,2,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,EcritureComptableRM,47,0,0,0,10,0,2,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,JournalComptableRM,19,0,0,0,5,0,2,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,LigneEcritureComptableRM,39,0,0,0,8,0,2,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,CompteComptableRM,20,0,0,0,5,0,2,0,2,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer,ConsumerHelper,5,3,0,0,2,2,2,1,2,1
myerp-business/myerp-consumer,com.dummy.myerp.consumer.db.helper,ResultSetHelper,49,0,6,0,16,0,7,0,4,0
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.dao,ComptabiliteDaoImpl,524,58,2,0,106,34,15,18,14,18
myerp-business/myerp-consumer,com.dummy.myerp.consumer.dao.impl,DaoProxyImpl,0,14,0,0,0,5,0,4,0,4
myerp-business/myerp-consumer,com.dummy.myerp.consumer.db,DataSourcesEnum,0,14,0,0,0,2,0,1,0,1
myerp-business/myerp-consumer,com.dummy.myerp.consumer.db,AbstractDbConsumer,65,46,5,3,11,11,6,4,3,3
